"name","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Adam",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,12,14,16,..,15,21,17,21,19,24,29,23,25,29,37,35,46,54,64,69,80,89,117,116,152,135,140,152,163,201,179,218,210,207,254,247,258,277,333,370,439,473,672,821,939,1045,1117,1057,913,816,793,778,839,905,964,899,834,774,778,755,730,690,654,694,652,649,637,657,654,755,796,787,822,795,691
"Albin",..,..,..,..,10,..,..,16,15,16,28,21,25,27,29,29,43,30,37,38,40,33,45,39,47,38,48,43,42,46,28,30,33,20,20,21,23,23,20,24,22,17,20,15,22,14,20,22,19,27,34,38,30,35,41,42,45,32,51,62,60,83,77,89,108,117,139,172,209,285,301,418,414,535,573,574,681,864,872,937,1071,1095,1099,1006,910,957,878,820,759,742,699,631,609,575,539,493,474,465,435,401
"Alexander",..,..,..,..,..,..,..,17,15,18,23,19,21,28,33,25,34,39,43,53,50,38,52,57,51,72,65,69,68,74,60,67,60,40,82,79,68,95,71,82,102,101,93,112,133,148,178,182,207,308,368,411,423,449,492,490,492,664,624,789,845,966,1125,1339,1845,2005,2284,2578,2832,3383,3328,3117,2852,2729,2493,2243,2154,2103,1976,1937,1955,2066,1959,1949,1981,1850,1805,1855,1886,1919,1694,1721,1677,1468,1510,1713,1658,1596,1456,1234
"Ali",..,..,..,..,..,..,..,..,..,..,..,11,..,..,17,16,18,15,25,29,21,29,42,48,58,56,89,91,94,119,120,111,117,138,154,161,168,169,187,265,228,259,258,270,225,294,255,280,297,281,249,260,298,313,355,316,338,373,411,422,370,434,465,522,498,522,456,442,457,482,459,408,490,566,557,559,531,782,1276,806,658,522,445,452,429,450,432,417,453,457,436,437,416,432,412,452,382,364,361,262
"Anders",27,14,32,43,37,53,88,93,135,154,209,270,289,301,352,389,478,599,752,760,898,1268,1482,1883,2063,2257,2407,2482,2631,2534,2647,2789,3002,3027,3130,3320,3365,3556,3989,3922,4005,4175,4470,4571,4662,4663,4409,4169,3630,3487,3413,3453,3439,3565,3182,2867,2814,2591,2645,2681,2718,2530,2404,2336,2375,2278,2246,2214,2158,2146,2089,1908,1680,1617,1417,1254,1217,1161,1129,1090,1013,1066,1060,1062,993,1046,1018,987,1036,927,914,972,963,859,862,874,828,808,708,758
"Andreas",..,..,..,..,..,..,..,..,..,..,..,13,16,16,14,17,29,25,20,19,23,28,33,30,38,43,41,55,45,49,40,39,37,54,53,48,67,70,79,77,103,99,120,170,179,210,284,418,444,657,1099,1624,2016,2419,2618,2484,2394,2705,2797,2912,2598,2651,2508,2441,2365,2328,2342,2393,2448,2446,2373,2160,1881,1660,1472,1230,1024,933,848,776,711,745,644,672,624,611,619,600,568,553,560,527,495,534,500,429,396,405,348,273
"Anton",..,..,..,..,..,..,..,17,..,15,21,12,22,22,25,24,29,38,51,31,34,46,50,48,36,33,22,43,39,31,29,41,39,37,33,40,24,40,27,38,33,35,42,42,35,56,50,59,49,54,60,69,60,74,60,96,95,119,127,171,185,191,265,300,344,469,525,867,1012,1200,1419,1445,1786,1713,1442,1460,1388,1344,1315,1326,1249,1234,1223,1111,1094,1166,1027,966,899,884,853,853,762,656,614,486,469,395,405,320
"Arne",20,23,36,43,71,121,150,218,224,292,343,418,426,457,565,660,663,804,843,859,901,1160,1284,1459,1543,1464,1521,1485,1486,1444,1355,1345,1400,1337,1277,1229,1179,1074,1087,969,1033,953,894,906,871,818,773,634,598,580,503,506,503,444,418,373,387,360,369,365,333,307,327,316,309,295,272,312,308,308,264,278,252,226,195,203,158,162,161,168,152,187,181,182,195,227,220,227,214,235,255,266,283,263,288,313,305,300,302,299
"Arvid ",13,..,..,11,24,13,28,43,45,47,69,66,72,86,76,100,114,115,119,125,153,149,165,144,163,188,158,156,159,169,159,134,105,127,133,117,104,115,109,87,102,97,88,100,86,85,94,90,64,76,81,70,104,82,93,86,89,85,115,128,108,141,123,153,151,143,162,164,208,208,213,237,247,283,286,281,293,377,367,399,516,551,634,645,667,793,729,784,832,897,859,813,832,791,721,728,682,692,714,613
"Axel",21,24,29,43,39,67,91,136,129,137,207,209,244,246,305,336,354,380,424,431,427,519,551,580,566,563,543,525,482,469,415,465,398,421,434,400,373,333,336,330,334,319,308,320,348,399,363,372,283,294,285,263,323,303,263,300,303,289,330,356,375,373,371,403,463,514,491,563,640,677,817,952,1129,1123,1016,1044,1088,1124,1168,1221,1249,1392,1377,1469,1466,1487,1515,1432,1493,1481,1359,1403,1275,1274,1281,1144,1113,1085,952,902
