,name,std,span_03,min_year,max_year,top_year,frac
0,Adam,13.616121983898092,12,1989,2000,1992,0.34599275704613447
1,Albin,15.459056239114368,8,2000,2007,2003,0.3341456241334398
2,Alexander,14.070614139590145,11,1987,1997,1990,0.3426988117001828
3,Ali,18.664027492373435,16,1993,2008,1999,0.3335112629443792
4,Anders,19.51258724380069,16,1958,1973,1966,0.3416960696918421
5,Andreas,12.748940108220525,10,1975,1984,1980,0.3410091299747913
6,Anton,13.358414649933435,9,1991,1999,1993,0.3405910195727261
7,Arne,21.984354550948073,13,1943,1955,1945,0.33110795198934695
8,Arvid ,24.930570384906275,11,2006,2016,2010,0.35382073190391744
9,Axel,25.95027933491486,15,2001,2015,2007,0.3432779579933812
10,Bengt,21.102566220950894,15,1944,1958,1945,0.332889874353289
11,Bertil,23.400355428492,13,1942,1954,1948,0.3314164381137751
12,Björn,20.9495338776868,19,1964,1982,1975,0.33770427952417276
13,Bo,22.769992241143065,16,1943,1958,1947,0.34111386935135385
14,Christer,17.968357019830925,12,1944,1955,1947,0.3484148687016708
15,Christian,16.367645827268113,12,1976,1987,1980,0.33451555138302125
16,Christoffer,11.764339099528428,7,1985,1991,1989,0.33220982488764916
17,Claes,20.629920537818048,18,1960,1977,1966,0.33757929587787805
18,Dan,18.491535353248654,16,1953,1968,1958,0.3368185212845407
19,Daniel,14.022448057781022,10,1974,1983,1977,0.3361418290328243
20,David ,17.003426304516367,14,1981,1994,1991,0.3444785007443734
21,Edvin ,22.314907918286654,10,2005,2014,2010,0.3560106545565696
22,Elias,13.626184966322336,8,2003,2010,2007,0.33666247970344043
23,Emanuel,22.613382170533008,19,1995,2013,2002,0.3477793922547223
24,Emil,15.826720556569144,12,1988,1999,1991,0.3366914670179061
25,Erik,23.995285162611477,22,1983,2004,1992,0.33480005293424125
26,Filip,13.811543294293115,10,1991,2000,1992,0.3481778783544331
27,Fredrik,15.350724586526967,11,1970,1980,1972,0.3389292509093777
28,Georg,25.61466967132792,23,1941,1963,1945,0.33444461876372766
29,Gunnar,23.144790998559138,15,1943,1957,1948,0.33667614726752026
30,Gustav,25.45572301271575,20,1991,2010,2004,0.33814040173949056
31,Göran,18.65268958576594,12,1943,1954,1944,0.3475813070688417
32,Gösta,26.086413380766047,13,1938,1950,1944,0.33886424837636625
33,Hans,21.586023077244818,19,1954,1972,1966,0.34117870689580687
34,Henrik,17.063344263776877,12,1971,1982,1974,0.3483930352074864
35,Hugo ,22.625891127319314,9,2003,2011,2006,0.3451262207481113
36,Håkan,18.518783924527156,13,1957,1969,1966,0.35079639224716946
37,Ingemar,20.39407099476172,14,1946,1959,1959,0.35541511909381523
38,Ingvar,21.141433225832916,14,1942,1955,1942,0.348636004959982
39,Isak,12.018868566016728,8,2001,2008,2004,0.3624667258207631
40,Jakob,15.3709676111207,11,1993,2003,1998,0.330531014031977
41,Jan,20.155238905940838,16,1953,1968,1965,0.34840868378064854
42,Joakim,14.394505405234064,13,1983,1995,1990,0.34458042314036125
43,Johan,17.259864820789957,15,1977,1991,1990,0.34207377583713744
44,Johannes,20.644527048834107,15,1987,2001,1992,0.3503903903903904
45,John,23.486969043503834,22,1979,2000,1991,0.34025579882939516
46,Johnny,19.90940981056982,18,1954,1971,1964,0.34364774792971114
47,Jonas,15.64808606647092,12,1967,1978,1972,0.3339398135475872
48,Jonathan,10.131636164680398,9,1991,1999,1996,0.35768175582990397
49,Josef,22.34531220566595,16,2005,2020,2014,0.33458023215456406
50,Jörgen,16.023030667973607,8,1963,1970,1965,0.3304454217783803
51,Karl,22.866509433409792,20,1988,2007,1991,0.33802230046948356
52,Kenneth,18.804771244487153,12,1945,1956,1953,0.34217615923425565
53,Kent,19.113300282121756,14,1948,1961,1955,0.3359011305697185
54,Kjell,20.957035818843746,14,1943,1956,1949,0.3466298793401597
55,Kurt,22.59959064681118,14,1938,1951,1942,0.34896228117668293
56,Lars,21.27296697604853,18,1957,1974,1966,0.3322747506026004
57,Leif,19.939262082291304,14,1942,1955,1944,0.3506825802965529
58,Lennart,20.479873971304336,13,1942,1954,1945,0.33871952608794714
59,Linus,10.550862713767449,10,1997,2006,2001,0.35046081070059537
60,Lucas,10.031846873633324,9,2003,2011,2006,0.3536786950690827
61,Ludvig,15.430897632913227,11,2003,2013,2004,0.35379237460369073
62,Magnus,15.963052191144927,9,1966,1974,1968,0.3422011170169711
63,Marcus,12.485720770627966,10,1986,1995,1991,0.3334031852472758
64,Martin,17.752902764442997,14,1975,1988,1976,0.33711082596069425
65,Mats,17.786578365643365,10,1958,1967,1964,0.3345995288574794
66,Mattias,14.072746672923776,10,1971,1980,1974,0.3392950467452529
67,Mikael,17.01572332555877,12,1960,1971,1963,0.33785274407312355
68,Mohamed,18.288311952291263,17,1987,2003,1999,0.33809291531787206
69,Niklas,13.396957380846573,12,1964,1975,1972,0.3424463527007404
70,Nils ,26.162266062590213,24,1997,2020,2012,0.3341782967815437
71,Oliver,11.607058164499064,10,2005,2014,2010,0.3648244672696612
72,Olle,25.54149964507042,10,2009,2018,2012,0.33797589940621725
73,Olof,23.868870986605728,23,1942,1964,1946,0.3363952024568733
74,Oskar,19.441805575780997,13,1991,2003,1994,0.3315690606429356
75,Ove,21.212302570075785,15,1942,1956,1946,0.340825350036846
76,Patrik,14.153769090726366,9,1965,1973,1970,0.3418282964967674
77,Per,19.69061958162479,17,1961,1977,1967,0.345665214890295
78,Peter,17.108985552892847,12,1960,1971,1965,0.35030060470481317
79,Rickard,17.31294926316475,15,1978,1992,1985,0.33886459472122443
80,Robert,17.487301044936608,15,1967,1981,1975,0.3496992077113781
81,Robin,10.255723369346441,6,1987,1992,1990,0.37756152645388424
82,Roger,17.086119368298586,12,1961,1972,1966,0.34731521422711514
83,Roland,19.999307555543574,12,1942,1953,1947,0.33718110388980504
84,Rolf,21.505219308127522,15,1940,1954,1945,0.34866584564860426
85,Rune,24.681498696270577,15,1942,1956,1949,0.3467065868263473
86,Sebastian,10.867831517392553,8,1988,1995,1991,0.3387635333400789
87,Simon,12.19639886319888,8,1989,1996,1992,0.3323985978968453
88,Stefan,16.961909537734233,12,1960,1971,1965,0.3434189609799757
89,Stig,23.970261864749776,15,1939,1953,1945,0.336687306501548
90,Sven,24.34989576601991,21,1941,1961,1945,0.3389866017538434
91,Thomas,18.010590052147133,14,1959,1972,1967,0.3449427963956667
92,Tobias,11.319336082827451,10,1985,1994,1991,0.3583806257776699
93,Tommy,19.69418867175959,14,1946,1959,1948,0.3438692930218354
94,Torbjörn,17.173859164870457,11,1957,1967,1961,0.33163797600417316
95,Ulf,18.397626595819613,12,1956,1967,1964,0.33145914863030107
96,Viktor,16.093385083691103,10,1988,1997,1991,0.3336016800840042
97,Wilhelm,26.740466727957628,19,2001,2019,2009,0.3370550705171256
98,William,17.701385846074423,10,1999,2008,2003,0.3411382915357282
99,Åke,22.861852755438345,14,1941,1954,1945,0.33417862364311496
100,Agnes,20.544834014500346,10,2005,2014,2006,0.36627172195892577
101,Agneta,15.902002396301704,9,1947,1955,1948,0.3419757042561249
102,Alexandra,14.10660376416778,10,1986,1995,1990,0.343367281165399
103,Alice,26.977063342692766,10,2008,2017,2011,0.34453563511155133
104,Amanda,10.99389084865088,7,1991,1997,1994,0.3329320170158119
105,Anette,14.675932309801516,8,1961,1968,1965,0.35258053988530935
106,Anita,19.66539888070598,8,1940,1947,1942,0.3509273719489726
107,Ann,18.47936003163589,12,1956,1967,1958,0.33295192396419676
108,Anna,20.114254457086062,16,1969,1984,1973,0.3386113413046052
109,Ann-Christin,11.200046549705482,7,1949,1955,1951,0.3354363382309353
110,Anneli,15.9990432308319,9,1962,1970,1965,0.34564358180399263
111,Annika,15.156503020095652,10,1963,1972,1966,0.3550767234913749
112,Ann-Marie,16.605293887262018,11,1942,1952,1948,0.34470377019748655
113,Astrid,31.77954791648072,13,2008,2020,2019,0.33017009417643667
114,Barbro,17.385835294712642,10,1941,1950,1945,0.3411279588694313
115,Berit,16.30604865340615,10,1938,1947,1939,0.3467699161981542
116,Birgitta,19.30437087475314,12,1941,1952,1944,0.34609012899503006
117,Britt,18.773450913923377,12,1942,1953,1948,0.3497736044002796
118,Camilla,12.796353194567608,7,1967,1973,1967,0.356807258195172
119,Carina,15.48014556037369,7,1959,1965,1960,0.36282901202580276
120,Caroline,12.922033500259749,9,1984,1992,1989,0.36058183267329197
121,Cecilia,18.440551839767124,15,1966,1980,1972,0.3345184915063664
122,Charlotta,19.51747818370616,14,1967,1980,1972,0.3370639806006342
123,Charlotte,17.48607377003983,14,1963,1976,1970,0.347435483397434
124,Ebba,21.97931258354195,11,2000,2010,2007,0.3584613798081881
125,Elin,17.25716612803699,12,1986,1997,1991,0.3419286977863484
126,Elisabeth,22.61929557324151,19,1949,1967,1964,0.33534965678668177
127,Ella,22.935557501030196,8,2004,2011,2007,0.35014991526528483
128,Ellen ,22.627073065443554,12,2003,2014,2011,0.3475416681164967
129,Ellinor,20.19813921936931,17,1980,1996,1992,0.3465912826244165
130,Elsa,30.15249474249326,11,2006,2016,2015,0.339681048653957
131,Emelie,10.946307613275572,7,1986,1992,1987,0.36004723277543893
132,Emilia,16.817595985566744,10,1999,2008,2002,0.3348269681511099
133,Emma,13.544105014139198,10,1986,1995,1986,0.33054793981451114
134,Erika,16.27476945292134,12,1983,1994,1991,0.33904341926729986
135,Eva,19.32801037104501,13,1955,1967,1964,0.33880395236485816
136,Felicia,8.563557432001952,8,1994,2001,1994,0.3537797541198012
137,Frida,13.346367270365029,9,1987,1995,1992,0.34031836233896223
138,Gun,17.565453876361033,11,1939,1949,1943,0.354080751894121
139,Gunilla,16.706981824071228,10,1943,1952,1946,0.34071569889168474
140,Hanna,16.23234406929569,13,1987,1999,1991,0.3532447117520418
141,Helen,16.753593815075508,9,1962,1970,1967,0.33762186962339896
142,Helena,18.76645883078285,13,1964,1976,1967,0.33249178585233863
143,Ida,14.75872590808243,12,1985,1996,1990,0.34213344858039424
144,Inga,26.33517649810413,15,1936,1950,1944,0.3315986016208486
145,Ingegerd,18.54917097659194,12,1939,1950,1943,0.35325041672009233
146,Inger,18.60364075689578,10,1943,1952,1948,0.35605295881793575
147,Ingrid,26.96847389550512,18,1942,1959,1947,0.3320677544124839
148,Irene,21.263793210524565,14,1945,1958,1951,0.3447419465946377
